drone_class,experiment_id,receiver,segment_id,relative_path,file_size_bytes,file_size_mb,is_valid_path
AR Drone,Unknown,Unknown,0,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_0.csv,97107740,92.61,True
AR Drone,Unknown,Unknown,0,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_0.csv,95199575,90.79,True
AR Drone,Unknown,Unknown,0,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_0.csv,94304316,89.94,True
AR Drone,Unknown,Unknown,0,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_0.csv,94330241,89.96,True
AR Drone,Unknown,Unknown,0,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_0.csv,94284100,89.92,True
AR Drone,Unknown,Unknown,0,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_0.csv,94296660,89.93,True
AR Drone,Unknown,Unknown,0,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_0.csv,95385542,90.97,True
AR Drone,Unknown,Unknown,0,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_0.csv,95857883,91.42,True
AR Drone,Unknown,Unknown,1,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_1.csv,97788528,93.26,True
AR Drone,Unknown,Unknown,1,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_1.csv,95137823,90.73,True
AR Drone,Unknown,Unknown,1,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_1.csv,94358944,89.99,True
AR Drone,Unknown,Unknown,1,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_1.csv,94215534,89.85,True
AR Drone,Unknown,Unknown,1,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_1.csv,94311023,89.94,True
AR Drone,Unknown,Unknown,1,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_1.csv,94290852,89.92,True
AR Drone,Unknown,Unknown,1,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_1.csv,95695602,91.26,True
AR Drone,Unknown,Unknown,1,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_1.csv,96301472,91.84,True
AR Drone,Unknown,Unknown,10,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_10.csv,96030686,91.58,True
AR Drone,Unknown,Unknown,10,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_10.csv,95255048,90.84,True
AR Drone,Unknown,Unknown,10,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_10.csv,94338751,89.97,True
AR Drone,Unknown,Unknown,10,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_10.csv,94302138,89.93,True
AR Drone,Unknown,Unknown,10,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_10.csv,94231643,89.87,True
AR Drone,Unknown,Unknown,10,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_10.csv,94288151,89.92,True
AR Drone,Unknown,Unknown,10,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_10.csv,95475333,91.05,True
AR Drone,Unknown,Unknown,10,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_10.csv,95191483,90.78,True
AR Drone,Unknown,Unknown,11,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_11.csv,96701149,92.22,True
