fold,train_samples,test_samples,train_loss,test_loss,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,train_time_sec
1,20430,2270,0.6547296268065887,0.6546742916107178,0.6431718061674009,0.6261707634713675,0.8574209102284415,0.6342667871123155,155.1554913520813
2,20430,2270,0.6580472008714008,0.6794141530990601,0.6039647577092511,0.5789553832105367,0.8505867536256256,0.6052985331440617,154.33955097198486
3,20430,2270,0.65375516748405,0.7281255125999451,0.6334801762114537,0.597704334938245,0.8546583515438844,0.6101410934744268,155.5504229068756
4,20430,2270,0.6448443132991949,0.6742398738861084,0.7722466960352423,0.7424192525977333,0.8900618901552066,0.7188822751322752,154.6397886276245
5,20430,2270,0.6584114051950486,0.6724203824996948,0.6096916299559472,0.5904041502710236,0.8399827923367852,0.613910934744268,158.1506049633026
6,20430,2270,0.657051399783416,0.6702495813369751,0.6242290748898679,0.5897674071341179,0.854908550982094,0.6068637888759839,157.4036865234375
7,20430,2270,0.6510802294714335,0.6596599817276001,0.6995594713656388,0.6673342149977463,0.8728259372147888,0.6564925044091711,155.49100828170776
8,20430,2270,0.6550579673101432,0.6914490461349487,0.6841409691629956,0.6537156406786282,0.8703454813919931,0.6470974749430034,156.3876974582672
9,20430,2270,0.6561456487275664,0.7113682627677917,0.6096916299559472,0.5756410685669104,0.8238829796832746,0.5971119929453262,156.15695762634277
10,20430,2270,0.6606044902733827,0.6779578924179077,0.620704845814978,0.5852259289297396,0.8633155820741882,0.6046847442680776,155.30955958366394
