fold,train_samples,test_samples,train_loss,test_loss,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,train_time_sec
1,20430,2270,0.05680062146781898,0.057306788861751556,0.8515418502202643,0.8048555647235938,0.9136238035837405,0.7788800705467372,1168.929074048996
2,20430,2270,0.05611814922105618,0.05773073434829712,0.8519823788546256,0.798282562730977,0.9217960293463904,0.7726375983997936,1227.3808481693268
3,20430,2270,0.057287190657602884,0.06317491084337234,0.8370044052863436,0.7742285140521783,0.9070363085722165,0.7524876865832151,1169.910834312439
4,20430,2270,0.05643438246297823,0.05789411813020706,0.852863436123348,0.8049082819333614,0.915800435818853,0.7785789564244849,1152.7088618278503
5,20430,2270,0.05579742119315665,0.057566579431295395,0.8488986784140969,0.8002446915625927,0.9154785153963447,0.774294532627866,1125.1458158493042
6,20430,2270,0.0560225830985499,0.06025458127260208,0.8414096916299559,0.7839222530236701,0.9157912031213366,0.7602843915343915,1014.783846616745
7,20430,2270,0.05674399585510007,0.06026959791779518,0.8418502202643172,0.7844646992312793,0.9149795820584895,0.7606481481481482,1108.8823323249817
8,20430,2270,0.056820411893256074,0.05825192108750343,0.8480176211453745,0.7859918543668948,0.9164928403159801,0.7631062610229277,1166.5292117595673
9,20430,2270,0.057125378002943816,0.060224272310733795,0.8480176211453745,0.7829376733744585,0.9057902561131395,0.7611627306749258,1125.1360189914703
10,20430,2270,0.056027543075792885,0.06442377716302872,0.8308370044052863,0.7790395223280232,0.9134118326922838,0.7540274013851249,1197.2415459156036
