fold,best_epoch,normalization,class_weighted,test_loss,test_accuracy,test_macro_f1,test_balanced_accuracy,class_0_train_count,class_0_weight,class_1_train_count,class_1_weight,class_2_train_count,class_2_weight,class_3_train_count,class_3_weight,background_rf_activities_precision,background_rf_activities_recall,background_rf_activities_f1,background_rf_activities_support,bebop_drone_precision,bebop_drone_recall,bebop_drone_f1,bebop_drone_support,ar_drone_precision,ar_drone_recall,ar_drone_f1,ar_drone_support,phantom_drone_precision,phantom_drone_recall,phantom_drone_f1,phantom_drone_support
1,5,per_segment,False,0.7788078407884169,0.7154185022026431,0.7027018041393609,0.6837720996257582,3690,1.3841463327407837,7560,0.675595223903656,7290,0.7006173133850098,1890,2.702380895614624,0.8133971291866029,0.8292682926829268,0.8212560386473431,410,0.752317880794702,0.6761904761904762,0.7122257053291536,840,0.6364572605561277,0.762962962962963,0.6939921392476137,810,0.7777777777777778,0.4666666666666667,0.5833333333333334,210
2,6,per_segment,False,0.7725561041138771,0.7154185022026431,0.6879196838548017,0.6666715060007743,3690,1.3841463327407837,7560,0.675595223903656,7290,0.7006173133850098,1890,2.702380895614624,0.7935034802784223,0.8341463414634146,0.8133174791914388,410,0.7055016181229773,0.7785714285714286,0.7402376910016978,840,0.6686967113276492,0.6777777777777778,0.6732066217044758,810,0.8681318681318682,0.3761904761904762,0.5249169435215947,210
3,6,per_segment,False,0.7682866979800657,0.7211453744493392,0.6935102335812461,0.6752013700692562,3690,1.3841463327407837,7560,0.675595223903656,7290,0.7006173133850098,1890,2.702380895614624,0.8097560975609757,0.8097560975609757,0.8097560975609756,410,0.6916916916916916,0.8226190476190476,0.7514953779227841,840,0.7088948787061995,0.6493827160493827,0.6778350515463917,810,0.7394957983193278,0.41904761904761906,0.5349544072948329,210
4,5,per_segment,False,0.7766332461445342,0.7083700440528634,0.6987034637435612,0.6719668129220975,3690,1.3841463327407837,7560,0.675595223903656,7290,0.7006173133850098,1890,2.702380895614624,0.8174807197943444,0.775609756097561,0.7959949937421777,410,0.6660039761431411,0.7976190476190477,0.7258938244853738,840,0.6855263157894737,0.6432098765432098,0.6636942675159235,810,0.8608695652173913,0.4714285714285714,0.6092307692307692,210
5,6,per_segment,False,0.7607878458132302,0.7255506607929515,0.7132220118727169,0.7037711855293156,3690,1.3841463327407837,7560,0.675595223903656,7290,0.7006173133850098,1890,2.702380895614624,0.7564356435643564,0.9317073170731708,0.8349726775956284,410,0.7110352673492605,0.7440476190476191,0.7271669575334497,840,0.7035110533159948,0.6679012345679012,0.6852438252058264,810,0.8461538461538461,0.4714285714285714,0.6055045871559632,210
6,4,per_segment,False,0.7592982997978311,0.7325991189427313,0.7154753549053213,0.7010471781305115,3690,1.3841463327407837,7560,0.675595223903656,7290,0.7006173133850098,1890,2.702380895614624,0.7935483870967742,0.9,0.8434285714285714,410,0.7214765100671141,0.7678571428571429,0.7439446366782008,840,0.6959798994974874,0.6839506172839506,0.6899128268991283,810,0.8260869565217391,0.4523809523809524,0.5846153846153845,210
7,5,per_segment,False,0.740419052035798,0.7242290748898679,0.705793917059943,0.6818167397943822,3690,1.3841463327407837,7560,0.675595223903656,7290,0.7006173133850098,1890,2.702380895614624,0.8567639257294429,0.7878048780487805,0.820838627700127,410,0.6948979591836735,0.8107142857142857,0.7483516483516482,840,0.6903553299492385,0.671604938271605,0.6808510638297872,810,0.768,0.45714285714285713,0.573134328358209,210
8,6,per_segment,False,0.7579783302046654,0.7215859030837004,0.6967142286819287,0.6841052071234999,3690,1.3841463327407837,7560,0.675595223903656,7290,0.7006173133850098,1890,2.702380895614624,0.7977011494252874,0.8463414634146341,0.821301775147929,410,0.7098560354374308,0.763095238095238,0.7355134825014342,840,0.6983729662077597,0.6888888888888889,0.6935985083903045,810,0.6917293233082706,0.4380952380952381,0.5364431486880467,210
9,4,per_segment,False,0.8298570537357078,0.6854625550660793,0.6532182260239158,0.6264321740439627,3690,1.3841463327407837,7560,0.675595223903656,7290,0.7006173133850098,1890,2.702380895614624,0.8125,0.7609756097560976,0.7858942065491183,410,0.6684607104413348,0.7392857142857143,0.7020915771622387,840,0.6318181818181818,0.6864197530864198,0.6579881656804734,810,0.8701298701298701,0.319047619047619,0.46689895470383275,210
10,5,per_segment,False,0.7922058955163157,0.7070484581497798,0.685585971146816,0.6717635608895771,3690,1.3841463327407837,7560,0.675595223903656,7290,0.7006173133850098,1890,2.702380895614624,0.7752808988764045,0.8414634146341463,0.8070175438596492,410,0.7012401352874859,0.7404761904761905,0.7203242617255355,840,0.6723926380368098,0.6765432098765433,0.6744615384615384,810,0.7317073170731707,0.42857142857142855,0.5405405405405405,210
