epoch,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1,val_balanced_accuracy,learning_rate,epoch_time
1,1.1785,0.4396,0.3114,1.5491,0.2126,0.1736,0.185,0.0003,11.9
2,1.0177,0.5285,0.4455,1.6221,0.2723,0.2175,0.23800000000000002,0.0003,11.5
3,0.9428,0.5729,0.5275,1.8596,0.22440000000000002,0.1971,0.1953,0.0003,11.5
4,0.8763,0.6315999999999999,0.6156,1.9653,0.22519999999999998,0.2084,0.1978,0.000299,11.5
5,0.8145,0.6768000000000001,0.6658,1.9404,0.3093,0.2606,0.2696,0.000299,11.5
6,0.7607,0.7116,0.7071,1.9334,0.2874,0.2616,0.255,0.000298,11.6
7,0.6942,0.7573000000000001,0.7561,2.4544,0.3836,0.2776,0.3333,0.000297,11.6
8,0.629,0.7984,0.7948,2.1632,0.3452,0.2657,0.3003,0.000296,11.6
9,0.574,0.8327,0.8315,2.5915,0.3011,0.2471,0.26170000000000004,0.000295,11.6
10,0.5133,0.868,0.8618,2.4783,0.3121,0.2663,0.272,0.000294,11.6
11,0.466,0.8944,0.8855,2.3959,0.32189999999999996,0.271,0.2808,0.000293,11.5
12,0.4219,0.9214,0.9128,2.7107,0.30079999999999996,0.2631,0.2638,0.000291,11.5
13,0.3919,0.9338,0.926,2.8504,0.303,0.2525,0.2636,0.00029,11.6
14,0.3609,0.9516,0.9445,2.709,0.331,0.2979,0.297,0.000288,11.7
15,0.3378,0.9632999999999999,0.9587,3.0237,0.32439999999999997,0.2651,0.2824,0.000286,11.5
16,0.3297,0.9662999999999999,0.9615,2.9527,0.3041,0.2481,0.2648,0.000284,11.5
17,0.3233,0.9658,0.9597,3.0934,0.3055,0.2509,0.2655,0.000282,11.6
18,0.3093,0.9754999999999999,0.9729,2.9539,0.3148,0.258,0.27440000000000003,0.000279,11.6
19,0.2999,0.9795999999999999,0.9763,3.02,0.3342,0.2725,0.2913,0.000277,11.5
20,0.2979,0.98,0.9757,2.8389,0.3362,0.3022,0.301,0.000274,11.5
21,0.2941,0.9804,0.9768,2.8627,0.309,0.3015,0.2845,0.000271,11.5
22,0.2853,0.9859,0.9814,2.9172,0.3159,0.2633,0.2753,0.000269,11.6
23,0.2875,0.9840000000000001,0.9821,3.2,0.33840000000000003,0.2659,0.2943,0.000266,11.6
24,0.2788,0.9886,0.987,2.9644,0.34380000000000005,0.27,0.2991,0.000263,11.6
25,0.2737,0.9906,0.9881,2.9488,0.306,0.2568,0.2667,0.000259,11.6
26,0.2721,0.9914000000000001,0.9899,3.0275,0.3299,0.2634,0.2869,0.000256,11.5
27,0.2721,0.9912000000000001,0.9899,2.8451,0.3455,0.2757,0.30079999999999996,0.000253,11.5
28,0.2702,0.9904999999999999,0.9892,2.8363,0.3425,0.2726,0.2984,0.000249,11.6
29,0.2652,0.9924,0.9902,2.9523,0.3126,0.2616,0.2722,0.000246,11.6
30,0.2635,0.9923000000000001,0.9909,2.7629,0.3312,0.2725,0.28809999999999997,0.000242,11.5
31,0.262,0.9936,0.9926,3.0042,0.3274,0.2647,0.2853,0.000238,11.6
32,0.2616,0.9925,0.992,2.7976,0.3093,0.2599,0.2693,0.000235,11.5
33,0.2562,0.9959,0.9943,2.9729,0.3685,0.2834,0.321,0.000231,11.5
34,0.259,0.9942,0.9924,2.7126,0.3367,0.2744,0.2937,0.000227,11.5
35,0.2566,0.9951000000000001,0.9941,2.7017,0.34990000000000004,0.2784,0.3046,0.000223,11.5
36,0.2505,0.9961,0.9951,2.7104,0.3323,0.2703,0.2893,0.000218,11.5
37,0.251,0.9953,0.9939,2.9485,0.3479,0.2739,0.3032,0.000214,11.5
38,0.2518,0.9956,0.9944,2.7143,0.3268,0.2756,0.2848,0.00021,11.5
39,0.2474,0.9974,0.9967,2.7881,0.3307,0.2651,0.2882,0.000206,11.6
40,0.2458,0.997,0.9963,2.7775,0.32549999999999996,0.2707,0.2839,0.000201,11.5
41,0.2456,0.9973000000000001,0.9968,2.6449,0.34630000000000005,0.2815,0.3017,0.000197,11.6
42,0.241,0.9990000000000001,0.9989,2.639,0.3184,0.2725,0.278,0.000192,11.6
43,0.244,0.998,0.9972,2.594,0.33399999999999996,0.2806,0.29100000000000004,0.000188,11.5
44,0.2397,0.9987999999999999,0.9985,2.6063,0.3381,0.2808,0.29460000000000003,0.000183,11.4
45,0.2409,0.9979,0.9972,2.6769,0.3433,0.2749,0.2986,0.000179,11.7
46,0.2392,0.9982,0.9981,2.5786,0.34740000000000004,0.2793,0.30219999999999997,0.000174,11.6
47,0.2388,0.9986,0.9983,2.6353,0.3274,0.2725,0.28559999999999997,0.000169,11.6
48,0.2358,0.9992,0.9987,2.6391,0.3342,0.2706,0.2907,0.000165,11.5
49,0.234,0.9993000000000001,0.999,2.5936,0.3268,0.2687,0.2851,0.00016,11.5
50,0.2336,0.9992,0.9991,2.629,0.3274,0.2686,0.2848,0.000155,11.6
51,0.2343,0.9992,0.9988,2.6637,0.32899999999999996,0.2687,0.2867,0.00015,11.6
52,0.2364,0.9990000000000001,0.9987,2.5448,0.3156,0.2621,0.2751,0.000146,11.6
53,0.2336,0.9990000000000001,0.9988,2.5379,0.3353,0.2778,0.292,0.000141,11.6
54,0.2316,0.9991,0.9989,2.5076,0.3367,0.2796,0.2937,0.000136,11.5
55,0.2315,0.9993000000000001,0.9991,2.5291,0.33340000000000003,0.2728,0.2905,0.000132,11.4
56,0.2305,0.9993000000000001,0.999,2.6109,0.32549999999999996,0.2705,0.2836,0.000127,11.5
57,0.2312,0.9995,0.9996,2.4959,0.3403,0.2788,0.2965,0.000122,11.5
58,0.2288,0.9998999999999999,0.9998,2.5066,0.32030000000000003,0.266,0.2789,0.000118,11.5
59,0.2283,0.9995999999999999,0.9993,2.5482,0.32270000000000004,0.2696,0.281,0.000113,11.6
60,0.2281,0.9997,0.9996,2.458,0.34409999999999996,0.2834,0.2998,0.000109,11.6
61,0.2275,0.9998,0.9996,2.5517,0.32789999999999997,0.2691,0.28550000000000003,0.000104,11.5
62,0.229,0.9992,0.9993,2.5162,0.3419,0.2792,0.2985,0.0001,11.6
63,0.2265,1.0,1.0,2.5083,0.3455,0.2818,0.3013,9.5e-05,11.6
64,0.2259,0.9997,0.9996,2.4981,0.337,0.2782,0.2934,9.1e-05,11.5
65,0.2279,0.9997,0.9997,2.4601,0.33149999999999996,0.2775,0.2889,8.7e-05,11.6
66,0.2253,0.9997,0.9995,2.4654,0.3356,0.2755,0.2922,8.3e-05,11.5
67,0.2247,0.9998999999999999,0.9998,2.4276,0.3282,0.2766,0.28600000000000003,7.8e-05,11.5
68,0.2247,0.9998999999999999,0.9998,2.4107,0.3367,0.2805,0.2934,7.4e-05,11.5
69,0.224,0.9998999999999999,0.9998,2.4063,0.3332,0.2787,0.2903,7e-05,11.6
70,0.2237,0.9998999999999999,0.9997,2.4203,0.3375,0.2822,0.2939,6.6e-05,11.6
71,0.2238,0.9998999999999999,0.9999,2.4696,0.3425,0.2771,0.2981,6.3e-05,11.6
72,0.2226,0.9998,0.9997,2.4311,0.3301,0.2754,0.2877,5.9e-05,11.6
73,0.2225,0.9998999999999999,0.9997,2.4543,0.3414,0.2851,0.298,5.5e-05,11.6
74,0.223,0.9998999999999999,0.9999,2.4695,0.3425,0.2774,0.2984,5.2e-05,11.5
75,0.2217,0.9998999999999999,0.9999,2.4067,0.34049999999999997,0.2812,0.2967,4.8e-05,11.5
76,0.2219,0.9998999999999999,0.9998,2.4361,0.3301,0.2743,0.2877,4.5e-05,11.5
77,0.2225,1.0,1.0,2.4312,0.3403,0.2826,0.297,4.2e-05,11.6
78,0.221,0.9998999999999999,0.9999,2.402,0.3411,0.2778,0.297,3.8e-05,11.6
79,0.2217,0.9998999999999999,0.9999,2.3898,0.3362,0.2802,0.2927,3.5e-05,11.7
80,0.2207,0.9998999999999999,0.9999,2.4385,0.3381,0.2803,0.29460000000000003,3.2e-05,11.5
81,0.221,1.0,1.0,2.4069,0.3395,0.2805,0.29600000000000004,3e-05,11.5
82,0.2221,1.0,1.0,2.3964,0.3403,0.2813,0.2968,2.7e-05,11.5
83,0.2209,1.0,1.0,2.4771,0.3411,0.2797,0.29719999999999996,2.4e-05,11.5
84,0.2208,1.0,1.0,2.4301,0.34380000000000005,0.2781,0.2993,2.2e-05,11.6
85,0.2201,0.9998999999999999,0.9999,2.4402,0.337,0.2798,0.29359999999999997,1.9e-05,11.6
86,0.2198,0.9998999999999999,0.9999,2.3651,0.3321,0.2795,0.2894,1.7e-05,11.5
87,0.2204,0.9998999999999999,0.9999,2.3967,0.3389,0.2813,0.2953,1.5e-05,11.6
88,0.22,1.0,1.0,2.4312,0.3471,0.2811,0.3025,1.3e-05,11.5
89,0.2201,1.0,1.0,2.4206,0.3329,0.2788,0.2903,1.1e-05,11.6
90,0.2195,1.0,1.0,2.419,0.3397,0.2798,0.2958,1e-05,11.5
91,0.2193,1.0,1.0,2.3868,0.3307,0.2781,0.2882,8e-06,11.6
92,0.2202,0.9998999999999999,0.9999,2.3971,0.34299999999999997,0.2817,0.2989,7e-06,11.5
93,0.2193,0.9998999999999999,0.9999,2.4171,0.3362,0.2786,0.2929,6e-06,11.6
94,0.219,1.0,1.0,2.3717,0.3323,0.2798,0.2896,5e-06,11.5
95,0.2198,0.9998999999999999,0.9997,2.4007,0.3427,0.2811,0.2984,4e-06,11.5
96,0.2193,1.0,1.0,2.3967,0.3386,0.2801,0.29510000000000003,3e-06,11.5
97,0.2197,0.9998999999999999,0.9999,2.4256,0.34490000000000004,0.2827,0.3005,2e-06,11.4
98,0.2191,1.0,1.0,2.3607,0.3271,0.2756,0.2851,2e-06,11.4
99,0.2192,1.0,1.0,2.4071,0.3373,0.2809,0.2939,1e-06,11.5
100,0.2186,1.0,1.0,2.4119,0.3447,0.2833,0.3,1e-06,11.6
